46,OMP_33-36_AMP46.pdb,OMP_33-36_AMP46.JPG,0.498,10.96692,-5.2,1.50E-04,
47,OMP_33-36_AMP47.pdb,OMP_33-36_AMP47.JPG,0.732,15.06291,-5.1,1.70E-04,
48,OMP_33-36_AMP48.pdb,OMP_33-36_AMP48.JPG,0.655,15.35531,-5.7,7.00E-05,
49,OMP_33-36_AMP49.pdb,OMP_33-36_AMP49.JPG,2.767,15.5745,-6.1,3.40E-05,
50,OMP_33-36_AMP50.pdb,OMP_33-36_AMP50.JPG,0.571,20.48822,-7.7,2.30E-06,
51,OMP_33-36_AMP51.pdb,OMP_33-36_AMP51.JPG,0.695,15.55694,-6.1,3.10E-05,
52,OMP_33-36_AMP52.pdb,OMP_33-36_AMP52.JPG,4.145,15.99388,-7.6,2.60E-06,
53,OMP_33-36_AMP53.pdb,OMP_33-36_AMP53.JPG,1.456,13.34253,-9.5,9.90E-08,
54,OMP_33-36_AMP54.pdb,OMP_33-36_AMP54.JPG,4.094,13.23996,-6.5,1.70E-05,
55,OMP_33-36_AMP55.pdb,OMP_33-36_AMP55.JPG,0.496,15.75945,-4.3,6.90E-04,
56,OMP_33-36_AMP56.pdb,OMP_33-36_AMP56.JPG,0.528,19.94357,-11.1,7.40E-09,
57,OMP_33-36_AMP57.pdb,OMP_33-36_AMP57.JPG,1.174,16.00127,-9.8,6.70E-08,
58,OMP_33-36_AMP58.pdb,OMP_33-36_AMP58.JPG,0.364,14.36489,-5,2.20E-04,
59,OMP_33-36_AMP59.pdb,OMP_33-36_AMP59.JPG,4.037,16.72591,-4.9,2.70E-04,
60,OMP_33-36_AMP60.pdb,OMP_33-36_AMP60.JPG,2.953,14.55537,-6.4,2.00E-05,
61,OMP_33-36_AMP61.pdb,OMP_33-36_AMP61.JPG,0.439,15.60627,-7,7.40E-06,
62,OMP_33-36_AMP62.pdb,OMP_33-36_AMP62.JPG,0.373,21.9421,-5.1,1.90E-04,
63,OMP_33-36_AMP63.pdb,OMP_33-36_AMP63.JPG,2.333,16.53556,-8.9,3.10E-07,
64,OMP_33-36_AMP64.pdb,OMP_33-36_AMP64.JPG,0.347,21.78249,-7.2,5.10E-06,
65,OMP_33-36_AMP65.pdb,OMP_33-36_AMP65.JPG,0.572,11.78341,-4.9,2.30E-04,
66,OMP_33-36_AMP66.pdb,OMP_33-36_AMP66.JPG,0.602,17.71224,-7.1,6.10E-06,
67,OMP_33-36_AMP67.pdb,OMP_33-36_AMP67.JPG,0.084,22.12254,-5.2,1.60E-04,
68,OMP_33-36_AMP68.pdb,OMP_33-36_AMP68.JPG,0.147,15.7666,-5.9,4.50E-05,
69,OMP_33-36_AMP69.pdb,OMP_33-36_AMP69.JPG,0.531,21.4183,-4.3,6.60E-04,
70,OMP_33-36_AMP70.pdb,OMP_33-36_AMP70.JPG,5.599,9.50524,-6.8,1.10E-05,
