Dock,Image,Attractive_VdW,Global_Energy,Repulsive_VdW,ACE,HB
FBN_AMP12.pdb,FBN_AMP12.JPG,-8.16    ,-8.62  ,0.19     ,5.63  ,-1.92  
FBN_AMP13.pdb,FBN_AMP13.JPG,-30.20    ,-3.89  ,16.59     ,11.33  ,-3.20  
FBN_AMP14.pdb,FBN_AMP14.JPG,-34.14    ,-29.59  ,16.91     ,9.88  ,-3.16  
FBN_AMP15.pdb,FBN_AMP15.JPG,-32.00    ,-15.99  ,21.46     ,7.85  ,-0.66  
FBN_AMP16.pdb,FBN_AMP16.JPG,-30.12    ,-3.69  ,23.76     ,12.64  ,-3.95 
FBN_AMP17.pdb,FBN_AMP17.JPG,-29.41    ,-29.22  ,37.15     ,-8.95  ,-1.19  
FBN_AMP18.pdb,FBN_AMP18.JPG,-6.05    ,-4.10  ,0.99     ,0.70  ,-1.43  
FBN_AMP19.pdb,FBN_AMP19.JPG,-22.65    ,-15.74  ,7.63     ,8.95  ,-3.03  
FBN_AMP20.pdb,FBN_AMP20.JPG,-17.59    ,-19.65  ,8.94     ,-2.97  ,-0.32  
FBN_AMP21.pdb,FBN_AMP21.JPG,-26.50    ,-7.46  ,6.07     ,20.69  ,-4.02  
FBN_AMP22.pdb,FBN_AMP22.JPG,-27.68    ,-12.28  ,22.26     ,-0.59  ,-0.65  
FBN_AMP23.pdb,FBN_AMP23.JPG,-20.76    ,-35.20  ,8.21     ,-2.93  ,-0.60  
FBN_AMP24.pdb,FBN_AMP24.JPG,-28.64    ,-46.70  ,10.88     ,-3.75  ,-1.58  
FBN_AMP25.pdb,FBN_AMP25.JPG,-29.63    ,-40.76  ,17.20     ,-11.55  ,-4.93  
FBN_AMP26.pdb,FBN_AMP26.JPG,-40.63    ,-33.20  ,19.60     ,-1.39  ,-8.69  
FBN_AMP27.pdb,FBN_AMP27.JPG,-20.72    ,-28.60  ,4.48     ,10.12  ,-1.63 
FBN_AMP28.pdb,FBN_AMP28.JPG,-29.00    ,-16.85  ,23.05     ,8.60  ,-6.61 
FBN_AMP29.pdb,FBN_AMP29.JPG,-26.14    ,-35.01  ,12.06     ,2.85  ,-3.68  
FBN_AMP30.pdb,FBN_AMP30.JPG,-30.10    ,-23.93  ,13.48     ,3.50  ,-2.59
cat-1_AMP1.pdb,cat1_AMP1.JPG,-27.74    ,-24.21  ,7.18     ,5.04  ,-3.14
cat-1_AMP2.pdb,cat1_AMP2.JPG,-18.12    ,-7.72  ,5.90     ,3.51  ,-0.53
cat-1_AMP3.pdb,cat1_AMP3.JPG,-36.65    ,-37.60  ,64.28     ,-8.78  ,-3.58 
cat-1_AMP4.pdb,cat1_AMP4.JPG,-30.80    ,-13.30  ,22.00     ,4.66  ,-4.33
cat-1_AMP5.pdb,cat1_AMP5.JPG,-34.78    ,-24.84  ,22.11     ,2.49  ,-4.56
cat-1_AMP6.pdb,cat1_AMP6.JPG,-39.02    ,-37.79  ,42.76     ,-4.90  ,-2.40 
cat-1_AMP7.pdb,cat1_AMP7.JPG,-17.79    ,6.38  ,10.19     ,5.11  ,-0.73
cat-1_AMP8.pdb,cat1_AMP8.JPG,-24.72    ,-48.20  ,11.66     ,-7.94  ,0.1
cat-1_AMP9.pdb,cat1_AMP9.JPG,-34.65    ,-10.90  ,21.10     ,3.73  ,-3.79
cat-1_AMP10.pdb,cat1_AMP10.JPG,-4.67    ,1.01  ,02.16     ,0.27  ,0.1
cat-1_AMP11.pdb,cat1_AMP11.JPG,-26.64    ,-8.03  ,15.43     ,6.83  ,-1.85 
cat-1_AMP12.pdb,cat1_AMP12.JPG,-38.28    ,-23.47  ,27.63     ,9.77  ,-6.07
cat-1_AMP13.pdb,cat1_AMP13.JPG,-25.16    ,-21.46  ,4.23     ,1.66  ,-1.95 
cat-1_AMP14.pdb,cat1_AMP14.JPG,-33.14    ,-34.44  ,7.22     ,9.22  ,-0.55
cat-1_AMP15.pdb,cat1_AMP15.JPG,-18.76    ,-11.99  ,9.95     ,5.82  ,-3.09 
cat-1_AMP16.pdb,cat1_AMP16.JPG,-33.01    ,-14.15  ,10.52     ,13.94  ,-4.08
cat-1_AMP17.pdb,cat1_AMP17.JPG,-27.36    ,-47.85  ,13.55     ,-4.58  ,-1.15
cat-1_AMP18.pdb,cat1_AMP18.JPG,-28.83    ,-43.11  ,17.42     ,-10.64  ,-1.12
cat-1_AMP19.pdb,cat1_AMP19.JPG,-26.87    ,2.32  ,12.61     ,6.34  ,-3.02  
cat-1_AMP20.pdb,cat1_AMP20.JPG,-22.59    ,-17.69  ,11.46     ,11.36  ,-3.76 
cat-1_AMP21.pdb,cat1_AMP21.JPG,-3.53    ,-8.50  ,0.1     ,3.98  ,-1.31 
cat-1_AMP22.pdb,cat1_AMP22.JPG,-23.60    ,-17.69  ,14.90     ,-5.22  ,-0.57
cat-1_AMP23.pdb,cat1_AMP23.JPG,-35.50    ,-32.73  ,68.57     ,-10.57  ,-6.87
cat-1_AMP24.pdb,cat1_AMP24.JPG,-30.14    ,-50.88  ,12.32     ,-6.80  ,-2.20 
cat-1_AMP25.pdb,cat1_AMP25.JPG,-19.24    ,-18.91  ,3.09     ,4.29  ,-4.63
cat-1_AMP26.pdb,cat1_AMP26.JPG,-26.83    ,21.78  ,11.08     ,0.15  ,-3.18
cat-1_AMP27.pdb,cat1_AMP27.JPG,-38.29    ,-0.43  ,31.65     ,13.84  ,-6.1
cat-1_AMP28.pdb,cat1_AMP28.JPG,-23.64    ,-13.03  ,11.66     ,2.97  ,-1.90 
cat-1_AMP29.pdb,cat1_AMP29.JPG,-3.88    ,-4.58  ,0.07     ,2.36  ,-0.57
cat-1_AMP30.pdb,cat1_AMP30.JPG,-24.10    ,-12.80  ,7.01     ,16.87  ,-6.16  
oprD_AMP1.pdb,oprD_AMP1.JPG,-26.55,-12.32,17.41,8.85,-1.39
oprD_AMP2.pdb,oprD_AMP2.JPG,-2.72,-6.1,0.1,-2.04,0.1
oprD_AMP3.pdb,oprD_AMP3.JPG,-5.86,-11.98,4.11,-4.96,0.1
oprD_AMP4.pdb,oprD_AMP4.JPG,-2.12,0.24,0.1,2.3,0.1
oprD_AMP5.pdb,oprD_AMP5.JPG,-28.56,-16.8,5.78,10.45,-1.51
oprD_AMP6.pdb,oprD_AMP6.JPG,-35.32,-0.71,49.51,1.62,-1.24
oprD_AMP7.pdb,oprD_AMP7.JPG,-0.34,1.97,0.1,0.13,0.1
oprD_AMP8.pdb,oprD_AMP8.JPG,-25.41,-56.15,16.05,-8.78,-0.75
oprD_AMP9.pdb,oprD_AMP9.JPG,-35.91,-17.89,13.32,19.24,-10.03
oprD_AMP10.pdb,oprD_AMP10.JPG,-36.75,-9.97,37.52,14.8,-6.68
oprD_AMP11.pdb,oprD_AMP11.JPG,-2.1,8.79,1.07,1.14,0
